PR:000000001	21803
BFO:0000017	4554
GO:0005634	2961
CL:0000000	930
CARO:0010004	779
CHEBI:10545	759
CHEBI:33252	754
GO:0008150	588
GO:0032991	485
BFO:0000040	450
COB:0001000	141
ENVO:01000813	140
OBI:0000070	129
BFO:0000034	129
BFO:0000015	121
OBI:0000011	84
OBI:0000047	82
OBI:0100026	69
IAO:0000030	67
ENVO:02500000	65
OBI:0000094	60
CHEBI:33250	58
BFO:0000020	58
IAO:0000027	53
OBI:0200000	49
GO:0003674	49
CHEBI:33696	49
BFO:0000023	49
ENVO:01001110	37
IAO:0000104	32
IAO:0000033	27
IAO:0000005	27
OBI:0000066	25
CHEBI:24867	23
OBI:0001909	20
OBI:0000245	20
IAO:0000310	20
BFO:0000016	19
PATO:0000125	18
CHEBI:36342	17
COB:0000013	15
OGMS:0000063	11
COB:0000011	11
PCO:0000000	10
PATO:0002193	10
OBI:0000260	10
COB:0000082	10
COB:0000120	9
BFO:0000141	9
BFO:0000029	9
COB:0001300	8
COB:0000121	8
COB:0000080	8
COB:0000077	8
CL:0000003	8
CHEBI:24636	8
SEPIO:0000048	6
OGMS:0000073	6
COB:0000020	6
CARO:0001008	6
COB:0000056	5
CL:0001034	5
OGMS:0000014	4
MOP:0000543	4
DRON:0000005	4
COB:0000122	4
COB:0000032	4
COB:0000073	3
CHEBI:30222	3
COB:0000119	2
used_id	1
ID	1
COB:0000116	1
COB:0000083	1
COB:0000014	1
COB:0000005	1
