Old IRI	New IRI
BFO:0000001	owl:Thing
BFO:0000002	owl:Thing
BFO:0000004	BFO:0000040
BFO:0000030	BFO:0000040
BFO:0000027	BFO:0000040
BFO:0000024	BFO:0000040
BFO:0000140	BFO:0000141
BFO:0000147	BFO:0000141
BFO:0000142	BFO:0000141
BFO:0000146	BFO:0000141
BFO:0000006	BFO:0000141
BFO:0000018	BFO:0000141
BFO:0000026	BFO:0000141
BFO:0000009	BFO:0000141
BFO:0000028	BFO:0000141
BFO:0000020	COB:0000502
BFO:0000019	COB:0000502
BFO:0000145	COB:0000502
BFO:0000031	IAO:0000030
BFO:0000003	BFO:0000015
BFO:0000182	BFO:0000015
BFO:0000035	owl:Thing
BFO:0000008	owl:Thing
BFO:0000148	owl:Thing
BFO:0000038	owl:Thing
BFO:0000144	COB:0000502
CHEBI:23367	COB:0000013
CHEBI:33250	COB:0000011
CHEBI:33696	COB:0000049
OBI:0000011	COB:0000035
OBI:0000047	COB:0000026
OBI:0000094	COB:0000110
OBI:0000968	COB:0001300
OBI:0100026	COB:0000022
